epoch,train_accuracy,val_accuracy
1,0.9981777777777778,0.9994
2,0.9998555555555556,1.0
3,0.9999888888888889,1.0
4,0.9999666666666667,1.0
5,1.0,1.0
6,0.9999666666666667,0.9998
7,0.9999888888888889,0.9999
8,1.0,1.0
9,0.9999444444444444,1.0
10,0.9999777777777777,1.0
