epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5748380794949002,0.42544444444444446,1.404035838317871,0.5148
2,1.0394572007921008,0.6324888888888889,1.1330906372070313,0.5976
3,0.8030818656073676,0.7209777777777778,0.8556373527526856,0.6936
4,0.6643763736300998,0.7701333333333333,0.7120758434295654,0.7432
5,0.581719417614407,0.8002222222222222,0.7041132095336914,0.7566
6,0.5245573758867051,0.8207333333333333,0.570599291229248,0.8006
7,0.4806639513439602,0.8333777777777778,0.5784878093719482,0.793
8,0.4366899503866831,0.8487111111111111,0.5707324285507203,0.8008
9,0.40606230220794676,0.8614222222222222,0.5517318182468415,0.8108
10,0.3716361251195272,0.8724,0.46552341022491456,0.8418
